hour,NS_rate,EW_rate
0,4.283333333333333,4.033333333333333
1,2.4833333333333334,2.65
2,1.9166666666666667,2.0
3,1.6333333333333333,1.3166666666666667
4,2.6,2.7666666666666666
5,4.966666666666667,4.7
6,13.083333333333334,10.633333333333333
7,22.3,12.283333333333333
8,23.116666666666667,12.916666666666666
9,15.783333333333333,12.916666666666666
10,16.883333333333333,16.483333333333334
11,17.866666666666667,17.8
12,22.116666666666667,18.433333333333334
13,22.05,16.766666666666666
14,18.933333333333334,18.133333333333333
15,23.45,25.083333333333332
16,21.616666666666667,25.966666666666665
17,23.45,26.6
18,18.366666666666667,20.733333333333334
19,14.616666666666667,16.666666666666668
20,12.75,14.766666666666667
21,11.966666666666667,12.066666666666666
22,9.383333333333333,10.5
23,6.716666666666667,7.183333333333334
